strategy_id,audit_state,audit_statistical_verdict,canonical_evidence,sample_and_loss_evidence,cost_and_fill_evidence,pit_and_oos_evidence,missing_evidence,decision,authority_boundary
H1,rejected,rejected,"ledger/experiments.jsonl:1; agents/04-quant-strategy.md","226 trades; 113 losses; CI90 [-132.61,-74.46] dollars per trade","Modeled costs fail; conservative adverse fill convention","In-sample only; no OOS spend","None needed to retain rejection",REJECT,"No rerun or variant authorized"
H2,rejected,rejected,"ledger/experiments.jsonl:4; agents/04-quant-strategy.md","196 trades; 60 losses; CI90 [-61.28,-18.08]","Modeled costs fail","In-sample only; no OOS spend","No basis for more width search",REJECT,"No rerun or variant authorized"
H3R,archived,not yet rejected,"README.md Scope status; agents/04-quant-strategy.md","No run","Unknown","No valid OOS path","Registration data costs OOS multiple-testing budget",PARK PENDING NAMED EVIDENCE,"New registration required"
H4,superseded,rejected as verdict evidence,"reports/2026-07-04-h4-composite-evidence.md; options_researcher/h4_backtest.py","Historical point estimate only; zero forward cycles","Historical model only","Hindsight contaminated post-2022 evidence-only","Causal preregistered design would be a new lane",REJECT,"Historical evidence cannot promote"
H5,observe,not yet rejected,"ledger seq 29; README.md; options_researcher/entry_watch.py","Retired trigger; descriptive observations","No entry fills authorized","Verified-session observer only","Owner-typed rule plus feasible registration",CONSOLIDATE WITH EXISTING WORK,"No FIRE or paper entry authority"
H6,forward tracked,not yet rejected,"reports/h6_forward/2026-07-22.json; README.md","One open; zero completed; minimum eight completions","No realized calibration","Forward receipts exist but sample incomplete","Completion/loss floor fills regimes",CONSOLIDATE WITH EXISTING WORK,"Existing registration only"
H7,paused,not yet rejected,"README.md; PROJECT_STATE.md; ledger seq 10; agents/04-quant-strategy.md","No active namespace or result","Causal conservative model but no realized calibration or capacity","Historical verdict path retired; forward-only path paused","New feasible registration sufficient forward sample fills capacity",PARK PENDING NAMED EVIDENCE,"No activation or namespace creation"
H8,forward tracked,not yet rejected,"README.md; data/positions H8 book","Zero completed","No realized calibration","Forward book header only","Completion/loss floor fills regimes",CONSOLIDATE WITH EXISTING WORK,"Existing registration only"
CARD3,historical sealed,consistent with zero edge,"ledger seq 13; agents/04-quant-strategy.md","6 completed; 4 losses; expectancy -85.47; CI90 [-187.97,13.87]","Ticker access constrained by 600 dollar cap","One open post-boundary trade excluded","Loss floor broader access forward/OOS",PARK PENDING NAMED EVIDENCE,"No promotion"
H9,historical conditional,consistent with zero edge,"reports/h9/receipt.json; reports/h9/census.json","16 trades; 4 losses; insufficient sample","Point estimate not sufficient","Historical study only","Registered loss floor executable fills",PARK PENDING NAMED EVIDENCE,"No registration inferred"
H10a,closed starved,not yet rejected,"reports/h10/2026-08-15-h10a-closeout.md; ledger H10A_RESULT","0 fires trades losses","No fills","Closed forward window","New feasibility-clearing registration",REJECT,"Current lane remains closed"
H10b,forward tracked,not yet rejected,"ledger seq 16 and 28; reports/h10/h10b_observations.jsonl","0 fires/open positions","No fills; official-close spot versus preclose chain timing caveat","Amended guarded Schwab source; no backfill","Forward observations loss floor synchronized execution evidence",CONSOLIDATE WITH EXISTING WORK,"Existing amended registration only"
RQ1-RQ2-A2-REGIME,descriptive research,no strategy verdict,"ledger seq 17-27; docs/robustness-experiments.md","Not a common strategy sample","Non-promoting research surfaces","Point-in-time/display controls vary by lane","Per-question preregistration and evidence gates",CONSOLIDATE WITH EXISTING WORK,"No FIRE verdict or production authority"
