source_id,claim,author_or_body,publisher,source_class,primary_or_secondary,title,url,pub_date,effective_date_or_version,retrieved_at,exact_location,authoritative_scope,independence_group,limitations,archive_or_hash
SEC-S1,Filing-date cutoff rule: submissions transmitted at/before 5:30pm ET get same-day filing date; most after 5:30pm get next-business-day 6:00am filing date and are not disseminated until then; listed exception forms (3/3A/4/4A/5/5A/144/144A + MEF/13D/13G family) keep same-day filing date and are disseminated until 10:00pm if transmitted before 10:00pm ET,U.S. Securities and Exchange Commission,SEC.gov (EDGAR Filer Support Resources),governing-primary,primary,Determine the Status of My Filing — Filing Date of Electronically-transmitted Submissions,https://www.sec.gov/submit-filings/filer-support-resources/how-do-i-guides/determine-status-my-filing,2024-06-04,page last reviewed June 4 2024; rule text also present verbatim in Filer Manual Vol II v70 (Jul 2024) through v77 (Mar 16 2026),2026-07-29T13:57:20Z,"Section ""Filing Date of Electronically-transmitted Submissions""","EDGAR electronic submissions, all filers",sec-official-web,How-Do-I guide page itself is undated relative to rule changes beyond its 'last reviewed' stamp; cross-checked against Filer Manual for stability,sha256 not captured; saved as filing-status.html in research scratchpad
SEC-S2,"Same filing-date/dissemination cutoff rule (5:30pm/6:00am next-day; exception list of forms disseminated until 10:00pm) stated in the current EDGAR Filer Manual Volume II, Version 77, effective March 16 2026",U.S. Securities and Exchange Commission,SEC.gov,governing-primary,primary,"EDGAR Filer Manual (Volume II), Version 77",https://www.sec.gov/files/edgar/filermanual/edgarfm-vol2-v77.pdf,2026-03-16,"Version 77, March 16 2026 (current version per SEC EDGAR Filer Manual landing page as of retrieval)",2026-07-29T13:58:00Z,"Section 3.2 ""Electronic Form Types by Act"", p. 3-33 to 3-34; Section 2.3.1 ""Hours of Operation"", p. 2-6",EDGAR electronic submissions,sec-official-web,"Large PDF (83MB/5.2MB); confirmed via pdftotext extraction, not manually paginated cover-to-cover","local file efmvol2-v77.pdf, converted efmvol2-v77.txt in scratchpad"
SEC-S3,"EDGAR hours of operation are 6:00 A.M. to 10:00 P.M. Eastern Time, Monday-Friday, except federal holidays; transmissions after 10:00pm ET must be resubmitted the next business day",U.S. Securities and Exchange Commission,SEC.gov,governing-primary,primary,"EDGAR Filer Manual (Volume II), Version 77 — Section 2.3.1 Hours of Operation",https://www.sec.gov/files/edgar/filermanual/edgarfm-vol2-v77.pdf,2026-03-16,"Version 77, March 16 2026",2026-07-29T13:58:00Z,"Section 2.3.1 ""Hours of Operation"", p. 2-6",EDGAR electronic submissions,sec-official-web,"Same document as S2, cited separately for the hours-of-operation fact",local file efmvol2-v77.pdf
SEC-S4,"Same 5:30pm/6:00am-next-day rule and same 6:00am-10:00pm hours-of-operation language already present verbatim in Filer Manual Volume II Version 70 (July 2024) and Version 75 (June 2025) — no substantive wording change across v70/v75/v77, i.e. no rule change to this cutoff in the last ~2 years covered",U.S. Securities and Exchange Commission,SEC.gov (archive),governing-primary,primary,"EDGAR Filer Manual (Volume II), Version 70 (archived) and Version 75 (archived)",https://www.sec.gov/files/edgar/filermanual/archive/edgarfm-vol2-v70.pdf,2024-07-01,"Version 70 = July 2024; Version 75 = June 2025 (also fetched as efmvol2.pdf, the pre-v77 'current' cache)",2026-07-29T13:57:20Z,Section 2.3.1 Hours of Operation (p.2-5/2-6); Section 3.2 filing-date-adjustment text (~p.3-33),EDGAR electronic submissions,sec-official-web,"Used to establish rule stability across versions, not as sole support for the rule itself (see S1-S3)",local files efmvol2-v70.pdf/efmvol2.pdf + .txt extractions
SEC-S5,EDGAR indexes incorporating the current business day's filings are updated nightly starting about 10:00pm ET (process usually completes within a few hours); submissions beginning after 5:30pm ET (10:00pm for Forms 3/4/5) are disseminated the next business day and show up in the next business day's index; NO specific acceptance-to-public-availability latency (e.g. minutes/seconds) is quantified anywhere on this page,U.S. Securities and Exchange Commission,SEC.gov (EDGAR Search Assistance),governing-primary,primary,Accessing EDGAR Data — Business hours and dissemination,https://www.sec.gov/search-filings/edgar-search-assistance/accessing-edgar-data,2021-03-23,"page dated March 23, 2021; content covers current index-rebuild and dissemination behavior, retrieved live 2026-07-29",2026-07-29T13:58:30Z,"Section ""Business hours and dissemination"" and ""Post-acceptance corrections and deletions""","EDGAR public index files and site dissemination, all users",sec-official-web,"Page's own pub_date (2021) is old relative to today, but it is the current live official page at this URL as of retrieval; no revision history shown",local file accessing-edgar-data.html
SEC-S6,"EDGAR Public Dissemination Service (PDS) receives a direct feed from the EDGAR Host and 'initiates the data-dissemination to Subscribers as soon as reasonably feasible' — this is the only quantification-adjacent language found in the governing PDS technical spec; NO numeric latency figure (e.g. 'two minutes') appears anywhere in this document, contradicting a non-primary web-search summary that had claimed one",U.S. Securities and Exchange Commission,SEC.gov,governing-primary,primary,EDGAR Public Dissemination Service (PDS) Technical Specification,https://www.sec.gov/files/edgar/pds_dissemination_spec.pdf,2021-01-01,undated in text; filename/version suggests a stable long-standing spec; retrieved current copy 2026-07-29,2026-07-29T13:59:00Z,"Introductory overview section, p.1 (lines ~90-155 of text extraction)","EDGAR PDS subscriber feed (bulk/real-time redistributors), not the public website directly",sec-official-web,"83-page technical spec; only overview section searched for timing language via full-text grep of extracted text, not manually read page-by-page","local file pds_dissemination_spec.pdf, extracted pds_dissemination_spec.txt"
SEC-S7,"EDGAR Full Text Search FAQ contains no statement of index-update frequency, latency, or 'real-time' claim relative to filing acceptance",U.S. Securities and Exchange Commission,SEC.gov,governing-primary,primary,EDGAR Full Text Search FAQ,https://www.sec.gov/edgar/search/efts-faq.html,,"retrieved live 2026-07-29, no version/date shown on page",2026-07-29T14:01:00Z,"Full FAQ body, keyword-searched for 'delay/real-time/update/minute/immediat'","EDGAR Full Text Search (EFTS) index, covers filings since 2001",sec-official-web,Confirms absence of a claim rather than establishing a positive fact; used to support the EVIDENCE GAP finding,local file efts-faq.html
SEC-S8,"Official 2026 EDGAR federal holiday list (11 holidays) on which EDGAR will not receive/process/accept filings, though previously-posted filings remain accessible as usual",U.S. Securities and Exchange Commission,SEC.gov (EDGAR Filer Support Resources),governing-primary,primary,EDGAR Calendar — Federal Holidays in 2026,https://www.sec.gov/submit-filings/filer-support-resources/edgar-calendar,2024-06-05,"page content last reviewed/updated April 28, 2026",2026-07-29T13:58:45Z,"Section ""Federal Holidays in 2026""",EDGAR operating calendar,sec-official-web,None material; page is the direct official calendar,local file edgar-calendar.html
SEC-S9,"EDGAR Next rule/form changes (new EDGAR Filer Management website, Login.gov individual credentials + MFA, amended Form ID, enrollment) became effective March 24, 2025; this overhaul concerns filer access/account authentication and management, not the acceptance-time/filing-date/dissemination cutoff rules",U.S. Securities and Exchange Commission,SEC.gov Newsroom,governing-primary,primary,Prepare for EDGAR Next: Transition Begins in One Month,https://www.sec.gov/newsroom/whats-new/prepare-edgar-next,2025-02-25,"effective date stated in text: March 24, 2025",2026-07-29T14:00:30Z,Full body text (single dated announcement),"EDGAR filer access/account management (Login.gov, Form ID, dashboard)",sec-official-web,Does not itself certify that the 5:30pm cutoff rule was unaffected — that is established separately via S2/S4 version comparison,local file edgar-next-news.html
SEC-S10,"PEP 615 rationale: the IANA time zone database is public-domain, widely distributed, present by default on many Unix-like OSes, and maintained under IETF RFCs for both procedures and the compiled TZif format; the zoneinfo module (stdlib, Python 3.9+) resolves keys like America/New_York against system tz data or, as fallback, the tzdata PyPI package — this is the documented rationale for using a named IANA zone key rather than a fixed UTC offset",Python Software Foundation / Paul Ganssle et al.,peps.python.org,governing-primary,primary,PEP 615 — Support for the IANA Time Zone Database in the Standard Library,https://peps.python.org/pep-0615/,2019-03-26,"PEP 615, accepted; implemented in Python 3.9 (2020); tzdata fallback package continues to be maintained",2026-07-29T14:03:00Z,"""Rationale"" and ""tzdata"" sections of the PEP",Python zoneinfo stdlib module and tzdata PyPI package design,python-official,"Fetched via summarizing tool (WebFetch), not verbatim page text; quotes reproduced are the tool's extracted quotations from the source, cross-checked against docs.python.org zoneinfo page (S11) for consistency","peps.python.org/pep-0615/ (canonical, versioned PEP text)"
