candidate_id,domain,title,status,severity,confidence,evidence_paths,reproduction,root_cause,affected_files,protected_wip_overlap,correctness_value,research_value,profitability_value,performance_value,maintenance_value,security_value,implementation_cost,regression_risk,operational_burden,dependency_change,authority_change,data_mutation,test_plan,benchmark_plan,rollback_plan,hard_gate,score,lane,decision_reason
SEC-01,security,Authorize comment-triggered Claude review,VERIFIED,medium,high,".github/workflows/claude-review.yml:60-65; agents/07-security-scan.md","A comment on a PR containing @claude from any association satisfies either comment branch; when CLAUDE_CODE_OAUTH_TOKEN is configured it can invoke the credentialed action","Comment text is treated as authorization",.github/workflows/claude-review.yml,no,5,0,0,0,3,5,1,1,1,no,no,no,"Offline failing workflow-contract test: require comment-author association on both comment branches; allow exactly OWNER MEMBER COLLABORATOR; deny NONE and unlisted values; preserve automatic pull_request review",not_applicable,"Disable both comment triggers and their branches while retaining automatic pull_request review",none,90,LANE A,"Recomputed 90 = 94 positive - 4 complexity; two independent auditors confirmed a narrow reversible caller-authorization defect outside protected WIP"
SEC-02,security,Validate actual Git remote ownership before global auto-push,VERIFIED,medium,high,"tools/anti-stranding/post-commit:26-52; tools/anti-stranding/claude-session-rescue.sh:29-45; tools/anti-stranding/worktree-remove-guard.sh:30-48","A non-GitHub URL containing /<cached-login>/ passes each case pattern and reaches git push","Unparsed URL substring stands in for remote identity","tools/anti-stranding/post-commit; tools/anti-stranding/claude-session-rescue.sh; tools/anti-stranding/worktree-remove-guard.sh; tools/anti-stranding/repo-reconcile",yes,5,0,0,0,4,5,3,4,5,no,yes,no,"Fake remotes covering HTTPS SSH pushurl and spoofed hosts; assert no push",not_applicable,"Restore prior hooks and reinstall only after owner review","protected WIP plus operational push-authority change",86,PLAN-ONLY,"High raw value but the shared root control overlaps protected WIP and changes network push authority"
SEC-03,security,Validate Host or local capability on live dashboard,VERIFIED_WITH_PREREQUISITES,low,medium,"options_researcher/live_dashboard.py:453-525; agents/07-security-scan.md","Arbitrary Host reaches /live.json; remote disclosure additionally needs DNS rebinding or an equivalent browser bypass","Loopback binding is treated as the complete origin boundary",options_researcher/live_dashboard.py,no,3,0,0,0,2,3,2,3,2,no,no,no,"HTTP tests for accepted loopback Host rejected arbitrary Host and zero refresh calls",browser_reproduction_required,"Remove Host gate and retain loopback binding",none,66,PARK,"Exploitability and user impact are conditional and unmeasured; first reproduce the deployed browser boundary"
DATA-01,data,Bind existing Schwab packages into irreplaceable-data inventory,VERIFIED,high,high,"data/irreplaceable_data_inventory.json:23-41; tools/irreplaceable_data_guard.py:147-150; agents/03-data-provenance.md","Inventory records Schwab namespaces absent so verify skips their now-present bytes","Inventory was not refreshed after the Schwab namespaces became populated","data/irreplaceable_data_inventory.json; tools/irreplaceable_data_guard.py",no,5,5,0,0,4,3,2,3,5,no,yes,yes,"Absent-then-populated-then-removed namespace fixture must fail; deep canonical verification",not_applicable,"Restore reviewed inventory and preserve all bytes","data-authority and operational evidence mutation",90,PLAN-ONLY,"Critical retention blind spot but regenerating the authoritative data inventory is an operational data-authority mutation"
DATA-02,data,Enforce constituent quote freshness for selectable Schwab rows,VERIFIED_GAP,moderate,high,"tools/schwab_chain_manifest.py:139-247; options_researcher/h7_data_gate.py:302-355; agents/03-data-provenance.md","Four packages contain 3294 rows older than 15 minutes including one prior-session quote; none is currently selectable","Package verification checks receipt freshness but not per-contract timestamp age","tools/schwab_chain_manifest.py; options_researcher/h7_data_gate.py; tests/test_schwab_chain_manifest.py; tests/test_h7_schwab_data_gate.py",yes,5,5,2,0,3,2,3,4,4,no,yes,no,"Synthetic selectable same-session-old and prior-session rows with fail-closed result",not_applicable,"Disable the new gate and restore prior receipt behavior","provider/data-authority change plus protected WIP and missing owner threshold",82,PLAN-ONLY,"A threshold cannot be invented in the audit and the exact gate is protected/authority-bearing"
DATA-03,data,Hash-bind close acquisition provenance,VERIFIED_GAP,moderate,high,"data/underlying_closes.py:28-41; data/recent_topup.py:84-122; agents/03-data-provenance.md","Current close writes retain transformed bytes but no raw response hash or per-symbol acquisition binding","Close refresh records aggregate facts rather than durable raw-to-derived lineage","data/underlying_closes.py; data/recent_topup.py; research/facts.py",no,5,5,1,0,3,2,4,4,5,no,yes,yes,"Synthetic raw response to transformed hash lineage and mutation refusal",not_applicable,"Remove additive receipt producer without rewriting prior data","provider/data-authority change",78,PLAN-ONLY,"Useful design but it changes acquisition authority and requires a separately authorized provider workflow"
TST-01,reliability,Add local process-capacity preflight before full suite,VERIFIED_ENVIRONMENT,moderate,high,"03-baseline-verification.md; agents/02-tests-reliability.md","Host had 797 external zombies and exceeded its 1333 process ceiling; isolated failing tests passed","Test runner does not classify process exhaustion before subprocess-heavy integration tests",new diagnostic only,no,2,1,0,0,3,1,2,2,2,no,no,no,"Synthetic process-stat parser and explicit EAGAIN diagnostic",not_applicable,"Remove optional diagnostic",none,63,PARK,"External host repair is the real blocker and another local wrapper would add maintenance without fixing the zombie owner"
TST-02,reliability,Add macOS zsh contract CI coverage,VERIFIED_GAP,moderate,high,".github/workflows/ci.yml:13-48; agents/02-tests-reliability.md","Ubuntu-only CI skips macOS/zsh wrapper contracts","The only required CI platform is Ubuntu",.github/workflows/ci.yml,no,3,2,0,0,4,1,3,2,4,no,no,no,"Run existing mock-only zsh tests with provider/network denial and publish skip counts",not_applicable,"Remove the separate macOS job",none,76,LANE B,"Good coverage value but runner cost availability and owner CI policy need a dedicated plan"
TST-03,reliability,Add isolated repo-rag tests to CI,VERIFIED_GAP,low,high,".github/workflows/ci.yml:37-48; tools/repo_rag/pyproject.toml; agents/02-tests-reliability.md","Root CI never invokes the tracked 11-file repo-rag suite","Independent tracked tool is outside the principal CI contract",.github/workflows/ci.yml,no,2,1,0,0,4,1,2,2,2,no,no,no,"Offline stdlib-only python3 -m unittest discover -s tests job from tools/repo_rag",not_applicable,"Remove the isolated CI job",none,73,LANE B,"Narrow and reversible but lower risk reduction than SEC-01 and needs support-status ownership"
TST-04,reliability,Add Ruff format check to CI,VERIFIED_GAP,low,high,".github/workflows/ci.yml:33-42; 03-baseline-verification.md","ruff format --check currently reports 281 files would reformat","CI omits a declared check while repository-wide format debt already exists",.github/workflows/ci.yml,no,1,0,0,0,2,0,1,5,3,no,no,no,"Run format check only after a separately approved baseline cleanup",not_applicable,"Remove check",would make current CI fail and broad formatting is prohibited,44,REJECT,"Adding the gate now would create a known red build and the required mass-format sweep is forbidden"
ARCH-01,architecture,Model daily ritual as a typed shadow workflow plan,VERIFIED_CONCENTRATION,moderate,high,"tools/daily_ritual.sh:70-594; agents/01-architecture-correctness.md","One 619-line shell path owns authority data refresh receipts Git persistence and backup","Stateful orchestration and authority sequencing are concentrated in shell",tools/daily_ritual.sh,yes,4,4,0,0,5,2,5,5,5,no,yes,yes,"Side-effect-free parity model over existing shell order and declared writes",not_applicable,"Delete shadow plan with no runtime migration","protected WIP and operational authority",77,PLAN-ONLY,"Architecture value is real but no executed defect exists and the file is protected operational WIP"
